name,price,chipset,memory,core_clock,boost_clock,color,length
Gigabyte GAMING OC,669.99,Radeon RX 9070,16,2070,2700,Black,288
Gigabyte GAMING OC,,Radeon RX 7700 XT,12,1700,2599,Black,302
Asus TUF GAMING,2759.99,GeForce RTX 5090,32,2010,,Black / Silver,348
Sapphire PULSE,299.99,Radeon RX 9060 XT,8,2220,3290,Black,240
Asus PRIME OC,939.99,GeForce RTX 5070 Ti,16,2300,2527,Black / White,306
MSI GAMING TRIO OC,1449.99,GeForce RTX 5080,16,2300,,Black / Silver,338
Gigabyte GAMING OC,369.95,Radeon RX 7600,8,1720,2755,Black / Silver,282
Asus TUF GAMING OC,698,GeForce RTX 3070,8,1500,1845,Black,300
MSI SHADOW 2X OC,599.99,GeForce RTX 5070,12,2557,,Black,231
Asus DUAL OC,199.97,GeForce RTX 3050 6GB,6,1040,1537,Black,201
XFX Speedster QICK 319 Core,689,Radeon RX 7800 XT,16,1295,2430,Black,335
Asus PRIME OC,439.99,Radeon RX 9060 XT,16,2220,,Black,304
Gigabyte GAMING OC Rev 2.0,354.99,GeForce RTX 3060 12GB,12,1320,1837,Black / Gray,282
MSI VENTUS 2X XS OC,219.99,GeForce RTX 3050 8GB,8,1550,1807,Black / Gray,205
Zotac SOLID SFF OC,839.99,GeForce RTX 5070 Ti,16,2300,2482,Black / Gold,304
MSI GAMING TRIO OC,1310.93,GeForce RTX 5070 Ti,16,2300,2580,White,338
XFX Speedster SWFT 210 Core,409.99,Radeon RX 7700 XT,12,1425,2544,Black,280
PowerColor Reaper,799.99,Radeon RX 9070 XT,16,2400,2970,Black / Red,289
XFX Quicksilver,799.99,Radeon RX 9070 XT,16,2400,2970,Black,350
Gigabyte EAGLE OC SFF,669.99,GeForce RTX 5070,12,2160,2587,White,290
PNY OC,749.99,GeForce RTX 5070 Ti,16,2295,2572,Black,300
MSI GAMING TRIO OC PLUS,849.99,GeForce RTX 5070 Ti,16,2300,2580,Black,338
NVIDIA Founders Edition,399,GeForce RTX 4060 Ti,8,2310,2540,Black / Silver,244
Gigabyte AORUS ELITE,1059.54,Radeon RX 9070 XT,16,2570,3100,Black,339
MSI SHADOW 3X OC,1339,GeForce RTX 5080,16,2300,2655,Black,303
MSI GT 710 2GD3 LP,59.95,GeForce GT 710,2,954,,Black,146
Zotac Twin Edge OC,479.99,GeForce RTX 5060 Ti,16,2410,2602,Black,220
Asus TUF GAMING OC,945.2,Radeon RX 9070 XT,16,2520,3080,Black / Silver,330
ONIX ODYSSEY,259.99,Arc B580,12,2670,,Black / Silver,260
Asus DUAL EVO OC,439.99,GeForce RTX 4060 Ti,8,2310,2595,Black,227
Lenovo 4X61D97085,7516.34,RTX A5000,24,1170,1695,Black,267
MSI VENTUS XS OC,339,GeForce GTX 1660 SUPER,6,1530,1815,Black / Silver,204
ASRock Taichi OC,799.99,Radeon RX 9070 XT,16,2570,3100,Black,330
Gigabyte AORUS XTREME WATERFORCE,3762.26,GeForce RTX 5090,32,2010,2655,Black,246
MSI VENTUS 3X OC,2699.99,GeForce RTX 5090,32,2010,,Silver / Black,325
XFX RX-79TMBABF9,700.26,Radeon RX 7900 XT,20,2000,2400,Black,276
XFX Speedster QICK 319 Core,,Radeon RX 6750 XT,12,2150,2600,Black,323
XFX Speedster SWFT 309,,Radeon RX 6700 XT,12,2321,2581,Black,304
