name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,85.99,"4,3000","2,8",5.374,Black / Yellow,10,15
Silicon Power XPOWER Turbine 32 GB,60.99,"4,3200","2,16",1.906,Blue,10,16
TEAMGROUP T-Force Delta RGB 16 GB,77.99,"5,6000","2,8",4.874,White,12.667,38
Corsair Dominator Titanium 64 GB,319.99,"5,6000","2,32",5,Black,10,30
G.Skill Ripjaws S5 32 GB,109.99,"5,6400","2,16",3.437,Black,10,32
G.Skill Flare X5 96 GB,184.99,"5,5200","2,48",1.927,Black,15.385,40
Klevv BOLT V 32 GB,93.99,"5,6000","2,16",2.937,Black,10,30
G.Skill Ripjaws M5 Neo RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12,36
Corsair Vengeance RGB 32 GB,117.99,"5,6400","2,16",3.687,Black / Gray,10,32
Corsair Vengeance 32 GB,135.99,"5,6000","2,16",4.25,Black,9.333,28
TEAMGROUP Vulcan Z 16 GB,42.99,"4,3600","2,8",2.687,Black,10,18
Silicon Power GAMING 16 GB,37.97,"4,3600","2,8",2.373,Gray / Silver,10,18
TEAMGROUP T-Create Expert 96 GB,291.99,"5,6400","2,48",3.042,Black / Gold,10,32
Corsair Vengeance RGB Pro 32 GB,,"4,4266","4,8",,Black,8.908,19
G.Skill Ripjaws S5 32 GB,84.99,"5,5200","2,16",2.656,Black,15.385,40
Corsair Vengeance RGB 64 GB,184.99,"5,6000","2,32",2.89,Black,13.333,40
TEAMGROUP T-Create Expert 32 GB,110.99,"5,7200","2,16",3.468,Black,9.444,34
Corsair Vengeance 96 GB,329.99,"5,6400","2,48",3.437,Black,10,32
Patriot Signature Line 16 GB,34.99,"5,4800","1,16",2.187,Black,16.667,40
Corsair Vengeance RGB 64 GB,277.99,"5,6400","2,32",4.344,White,10,32
Crucial CT2K64G56C46U5 128 GB,279.99,"5,5600","2,64",2.187,Black,16.429,46
G.Skill Trident Z RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10,16
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6400","2,16",2.812,Black,12.5,40
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"5,6000","2,32",2.578,White,10,30
Kingston FURY Beast RGB 128 GB,349.99,"5,5600","2,64",2.734,Black,12.857,36
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"4,2666","1,128",,Green / Black,16.504,22
Patriot Viper Venom 16 GB,48.99,"5,6000","2,8",3.062,Black / Silver,12,36
