name,price,capacity,price_per_gb,type,cache,form_factor,interface,image
Kingston A400,24.99,240,0.104,SSD,,2.5,SATA 6.0 Gb/s,
TEAMGROUP MP33,34.99,512,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
TEAMGROUP T-FORCE G50,104.99,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Samsung 990 EVO,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 5.0 X2,
Silicon Power A60,54.97,1000,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
MSI SPATIUM M480 PRO,119.99,2000,0.06,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Samsung 990 Pro w/Heatsink,315.05,4000,0.079,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Samsung 9100 PRO w/Heatsink,449.99,4000,0.112,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Crucial P510,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
TEAMGROUP MP44L,34.99,500,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Green SN350,55.56,1000,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Klevv CRAS C910,199.99,4000,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
KingSpec XF,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Kingston KC3000,99.99,1024,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
TEAMGROUP MP33 PRO,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
SK Hynix Platinum P41,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Seagate IronWolf NAS,170.59,8000,0.021,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/2051a9a304e2281fca519576296b3823.256p.jpg
Lexar NM790,230.0,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Seagate SuperSpeed HDD,,1000,,,64.0,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/a0ef92b25c25a567557dbae1cb3ebed0.256p.jpg
Corsair MP700 Elite,198.99,2000,0.099,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Samsung 980,69.99,500,0.14,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Patriot P400 Lite,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Gold,499.99,24000,0.021,7200,512.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/a311d7aa215ad39a8635831edf9db5ab.256p.jpg
Samsung 970 Evo,146.13,1000,0.146,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,
Silicon Power UD90,212.99,4000,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
TEAMGROUP T-Force Vulcan Z,47.99,1000,0.048,SSD,,2.5,SATA 6.0 Gb/s,
Seagate Exos X24,479.99,24000,0.02,7200,512.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/af943247a7971f57f2630f3e7797c7df.256p.jpg
Kingston A400,36.99,480,0.077,SSD,,2.5,SATA 6.0 Gb/s,
Samsung 860 Evo,142.13,1000,0.142,SSD,1024.0,2.5,SATA 6.0 Gb/s,
Kingston Fury Renegade,117.85,1000,0.118,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital WD Red Pro,479.99,26000,0.018,7200,512.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/b9f9bf06b2480ddb94519ca8b44b2845.256p.jpg
Sabrent Rocket 5,729.99,4000,0.182,SSD,,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
PNY CS1030,29.99,500,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Crucial T705,142.99,1000,0.143,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Lexar NM620,57.99,1000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Samsung 9100 PRO,,8000,,SSD,8192.0,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Crucial BX500,108.99,2000,0.054,SSD,,2.5,SATA 6.0 Gb/s,
Western Digital WD Blue SN5000,113.99,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Silicon Power A55,45.99,1000,0.046,SSD,,2.5,SATA 6.0 Gb/s,
Seagate IronWolf NAS,99.99,4000,0.025,5400,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/2051a9a304e2281fca519576296b3823.256p.jpg
Patriot P300,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,https://m.media-amazon.com/images/I/411-9QPiZXL.jpg
Seagate BarraCuda,38.22,1000,0.038,7200,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Western Digital Black SN770,56.99,500,0.114,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
