name,price,socket,form_factor,max_memory,memory_slots,color,image
ASRock B650M Pro RS,220.07,AM5,Micro ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/d7893755609db1feb833c99ad9d243bf.256p.jpg
Asus TUF GAMING A520M-PLUS WIFI,110.46,AM4,Micro ATX,128,4,Black / Orange,https://cdna.pcpartpicker.com/static/forever/images/product/e17b78b80ad50c2c96668bb12c1f190e.256p.jpg
ASRock B760M PG Riptide Wifi,119.99,LGA1700,Micro ATX,192,4,Black,https://m.media-amazon.com/images/I/41OqAPsU4iL.jpg
ASRock B650 Steel Legend WiFi,280.35,AM5,ATX,256,4,White / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/f154f20635f7e56b180c01266156053f.256p.jpg
Gigabyte B650 AORUS ELITE AX ICE,199.74,AM5,ATX,192,4,Silver,https://cdna.pcpartpicker.com/static/forever/images/product/7352b7865a2e77e70371d5c81a01f5a7.256p.jpg
MSI X670E GAMING PLUS WIFI,189.99,AM5,ATX,192,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/f8d60a74e775beebaf456eebb23c4ca4.256p.jpg
Gigabyte B650 AORUS ELITE AX V2,199.99,AM5,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/2bb6d5c9fa86895c102e1ee17fbebdf3.256p.jpg
Asus ROG STRIX X870-I GAMING WIFI,448.99,AM5,Mini ITX,128,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/4e5ec27085e7971c37ce5794396f9639.256p.jpg
Asus ROG STRIX Z790-A GAMING WIFI II,590.0,LGA1700,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/f8ae5122cf0714c64af32c0d940ce6d7.256p.jpg
Asus ROG ZENITH II EXTREME ALPHA,,sTRX4,EATX,256,8,Black / Silver,https://m.media-amazon.com/images/I/51qc0yafF+L.jpg
MSI PRO Z790-P WIFI,179.99,LGA1700,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/157047663b648bb72039e6208a029ef3.256p.jpg
ASRock B760 Pro RS/D4,154.05,LGA1700,ATX,128,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg
ASRock B850M Steel Legend WiFi,179.99,AM5,Micro ATX,256,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/b79a4103bd136cf3dcfcfdb299453e0e.256p.jpg
Asus TUF GAMING B650M-PLUS WIFI,259.0,AM5,Micro ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/41f2fc275ab34cc9fcd97bea2a63ba7d.256p.jpg
MSI B760M GAMING PLUS WIFI,252.19,LGA1700,Micro ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/96638c2881bd646987778b312655d859.256p.jpg
