name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,image
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"4,3600","2,8",3.187,White,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/12d937d90590710d44e87577e35c530f.256p.jpg
Kingston FURY Beast 32 GB,115.81,"4,3200","2,16",3.619,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
Kingston FURY Beast 64 GB,233.99,"5,6000","2,32",3.656,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8400","2,24",5.416,Black,9.524,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Patriot Viper Venom 64 GB,189.99,"5,6400","2,32",2.969,Black / White,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/f872f449bc8dd16bdc142f80e9df1d88.256p.jpg
G.Skill Trident Z5 RGB 32 GB,116.99,"5,6400","2,16",3.656,Black,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/5468241c2bc267e0ebc4ed037b0d02b6.256p.jpg
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black / Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
Timetec PINNACLE Konduit 16 GB,31.99,"4,3200","2,8",1.999,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/35e8ef017a78a1e078ac41ce6d804b56.256p.jpg
Corsair Dominator Titanium 32 GB,180.99,"5,6000","2,16",5.656,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/d031b41e8948f8b9499ec37c6b33bd91.256p.jpg
Patriot Viper Steel 32 GB,59.99,"4,3200","2,16",1.875,Silver / Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Flare X5 64 GB,234.99,"5,6000","2,32",3.672,Black,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/f7d28bd70b14a7eaef6627ce7ecc3fd6.256p.jpg
Corsair Vengeance 16 GB,64.98,"5,5200","2,8",4.061,Black,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/c61cf578206c7afb06eb1af27edb1f7b.256p.jpg
G.Skill Ripjaws S5 64 GB,154.99,"5,6000","2,32",2.422,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/e8f0b56c5e17f6c71fb8582cb427229a.256p.jpg
Crucial CP2K64G56C46U5 128 GB,299.99,"5,5600","2,64",2.344,Black,16.429,46,https://cdna.pcpartpicker.com/static/forever/images/product/b42146c88ed343fce3e6f94ba345b483.256p.jpg
Timetec PINNACLE Konduit 32 GB,,"4,3600","2,16",,White,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
TEAMGROUP T-Create Expert 32 GB,87.99,"5,6000","2,16",2.75,Black,12.667,38,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
Patriot Viper Venom 32 GB,87.99,"5,6400","2,16",2.75,Black / White,10.0,32,https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
G.Skill Flare X5 32 GB,127.99,"5,6000","2,16",4.0,Black,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg
Crucial Pro 32 GB,81.99,"5,6400","2,16",2.562,Black,11.875,38,https://cdna.pcpartpicker.com/static/forever/images/product/c62f5aa1d2d902523596f383c7946a7b.256p.jpg
Corsair Vengeance RGB 128 GB,551.99,"5,5600","4,32",4.312,Black,14.286,40,https://cdna.pcpartpicker.com/static/forever/images/product/ef3ced8a8c3b89a50ac43076f6ed0a0f.256p.jpg
Corsair Vengeance RGB Pro SL 32 GB,109.99,"4,3600","2,16",3.437,White / Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/64079d85add71559122ffbd000911056.256p.jpg
Corsair Dominator Titanium 96 GB,424.99,"5,6600","2,48",4.427,Black,9.697,32,https://cdna.pcpartpicker.com/static/forever/images/product/5043343aefe3ad5ed4f2c1ca6df1842c.256p.jpg
Corsair Vengeance 64 GB,229.99,"5,6400","2,32",3.594,Black / Gray,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg
Kingston FURY Beast 16 GB,67.98,"5,6000","2,8",4.249,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/547d30a3ba49dc763a8c23b28f7ac74b.256p.jpg
TEAMGROUP T-Create Classic 32 GB,74.99,"5,5600","2,16",2.343,Black,16.429,46,https://cdna.pcpartpicker.com/static/forever/images/product/b3d17b2350df02bb788ba0190c89f135.256p.jpg
Corsair Vengeance 32 GB,86.99,"5,6000","2,16",2.718,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
Patriot Viper Elite 5 RGB 32 GB,102.99,"5,6000","2,16",3.218,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"5,6000","2,32",2.89,White,12.667,38,https://m.media-amazon.com/images/I/41GuP4h6IfL.jpg
Corsair Vengeance RGB 64 GB,259.99,"5,6000","2,32",4.062,White / Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg
G.Skill Trident Z5 Royal 32 GB,154.99,"5,6400","2,16",4.843,White,9.375,30,https://cdna.pcpartpicker.com/static/forever/images/product/d237fd8c79c430d37535f385981272df.256p.jpg
Kingston FURY Beast 32 GB,106.63,"5,5600","2,16",3.332,Black,12.857,36,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
Corsair Vengeance RGB 32 GB,96.99,"5,5200","2,16",3.031,White,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
TEAMGROUP T-Force Vulcan Z 32 GB,66.03,"4,3200","2,16",2.063,Gray,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/5adb8089a7ff5f322bc5dea023e93d31.256p.jpg
G.Skill Ripjaws V 32 GB,89.99,"4,3600","2,16",2.812,Black,8.889,16,https://cdna.pcpartpicker.com/static/forever/images/product/f97fce0b44ff2447a790b0bffc74f9f3.256p.jpg
Lexar THOR 16 GB,,"4,3200","2,8",,Black,10.0,16,https://m.media-amazon.com/images/I/31+5mRN1Q4L.jpg
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"4,3600","2,8",3.187,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/12d937d90590710d44e87577e35c530f.256p.jpg
G.Skill Trident Z RGB 16 GB,54.99,"4,3600","2,8",3.437,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/d19422479fca6e5117bb55db3d25eac2.256p.jpg
Kingston FURY Beast RGB 32 GB,141.19,"5,6000","2,16",4.412,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg
Corsair Vengeance 128 GB,372.99,"5,6400","2,64",2.914,Black,13.125,42,https://cdna.pcpartpicker.com/static/forever/images/product/430bd0c0e205970df01f262dcc3ed9fa.256p.jpg
