name,price,type,color,psu,side_panel,external_volume,internal_35_bays,image
MSI MAG FORGE 321R AIRFLOW,89.99,ATX Mid Tower,Black,,Tempered Glass,49.4,2,https://cdna.pcpartpicker.com/static/forever/images/product/71da8ca66086fde771b7f355b11ccf10.256p.jpg
Jonsbo D32 PRO,71.99,MicroATX Desktop,Black,,Tempered Glass,25.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/e63f1c68694e1f9fbf7d71f48052a1fe.256p.jpg
Lian Li A4-H20 X4,154.99,Mini ITX Desktop,Black,,Mesh,11.1,0,https://cdna.pcpartpicker.com/static/forever/images/product/5976fcee24c589859552a9f087690430.256p.jpg
Lian Li O11 Vision,138.97,ATX Mid Tower,White,,Tempered Glass,67.8,2,https://cdna.pcpartpicker.com/static/forever/images/product/f68bf787cff2da68c4f1dfe73a9981b4.256p.jpg
Fractal Design North,139.99,ATX Mid Tower,White,,Tempered Glass,45.1,2,https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg
Antec C5 ARGB,104.99,ATX Mid Tower,White,,Tempered Glass,,1,https://cdna.pcpartpicker.com/static/forever/images/product/47f5f80539aa5e8cc9f4d5ebe8cd1dd2.256p.jpg
Okinos Cypress 3,64.98,MicroATX Mini Tower,Black / Brown,,Tempered Glass,,2,https://m.media-amazon.com/images/I/51WR8k8DMJL.jpg
Fractal Design Focus G,59.99,ATX Mid Tower,Black,,Acrylic,42.2,2,https://cdna.pcpartpicker.com/static/forever/images/product/1ee4eb7d40aaf6bb43c86b4865407c2d.256p.jpg
Thermaltake View 170 ARGB,62.99,MicroATX Mini Tower,Black,,Tempered Glass,35.0,1,https://cdna.pcpartpicker.com/static/forever/images/product/2f4f9691c180a9944c3676da2d0eced6.256p.jpg
NZXT H5 Flow RGB (2024),119.99,ATX Mid Tower,Black,,Tempered Glass,45.0,1,https://cdna.pcpartpicker.com/static/forever/images/product/8925e4a3aa61f5cea6249c6e18c54e9e.256p.jpg
Fractal Design Terra,179.99,Mini ITX Desktop,Silver / Brown,,Mesh,11.4,0,https://cdna.pcpartpicker.com/static/forever/images/product/93603f04dde2fe42335d278e66b80c4d.256p.jpg
NZXT H9 Flow RGB+ (2025),289.99,ATX Mid Tower,Black,,Tinted Tempered Glass,76.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/463721369e4217261a778db8b67b118c.256p.jpg
Lian Li Lancool 207,89.99,ATX Mid Tower,White,,Tempered Glass,45.5,2,https://cdna.pcpartpicker.com/static/forever/images/product/393f3d73165045839334a1621040ee20.256p.jpg
NZXT H9 Elite,211.99,ATX Mid Tower,Black,,Tempered Glass,66.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/b1bef448b0e5397e703971eef3a08e40.256p.jpg
Corsair 7000D AIRFLOW,289.99,ATX Full Tower,Black,,Tempered Glass,81.8,6,https://cdna.pcpartpicker.com/static/forever/images/product/aa86351c8df24a48c98e7a14f50631a3.256p.jpg
Lian Li ODYSSEY X,1468.05,ATX Full Tower,Black,,Tempered Glass,,3,https://cdna.pcpartpicker.com/static/forever/images/product/f68bf787cff2da68c4f1dfe73a9981b4.256p.jpg
Lian Li LANCOOL 216,111.97,ATX Mid Tower,Black,,Tempered Glass,55.6,2,https://cdna.pcpartpicker.com/static/forever/images/product/372a584cebeca5f57266bf0f07e6831c.256p.jpg
Thermaltake View 270 Plus TG ARGB,78.99,ATX Mid Tower,Black,,Tempered Glass,47.6,2,https://cdna.pcpartpicker.com/static/forever/images/product/9e5614134f25613ad1680297287c0aea.256p.jpg
Antec FLUX,104.99,ATX Mid Tower,Black / Brown,,Tempered Glass,58.1,2,https://cdna.pcpartpicker.com/static/forever/images/product/b76da1b61903db1a3a2ae31295d52f6f.256p.jpg
Lian Li A3-mATX,72.98,MicroATX Mini Tower,White,,Mesh,26.3,1,https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg
Cooler Master MasterBox NR200P V2,109.99,Mini ITX Desktop,Black,,Mesh,20.1,1,https://cdna.pcpartpicker.com/static/forever/images/product/bf0023fb357f037c354139e56a95aa4d.256p.jpg
Montech KING 95 PRO,139.0,ATX Mid Tower,White,,Tempered Glass,63.0,5,https://cdna.pcpartpicker.com/static/forever/images/product/6e645766ef331a1911f2c74016db9efa.256p.jpg
Corsair 9000D RGB AIRFLOW,519.99,ATX Full Tower,Black,,Tempered Glass,149.6,5,https://cdna.pcpartpicker.com/static/forever/images/product/31bfc270950571313482b67027c01cf2.256p.jpg
Thermaltake V100 Perforated,49.99,ATX Mid Tower,Black,,,36.6,2,https://cdna.pcpartpicker.com/static/forever/images/product/42a5f5f534cfc75efc6b50ab01e198d3.256p.jpg
Mars Gaming MC-S2,79.34,ATX Mid Tower,White,,Acrylic,19.5,1,https://cdna.pcpartpicker.com/static/forever/images/product/57709fd32c80825278a1956146554862.256p.jpg
Corsair FRAME 4000D RS,94.99,ATX Mid Tower,Black,,Tempered Glass,56.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/b92de105986e31796925b0c95a335fa0.256p.jpg
Fractal Design Focus 2,74.99,ATX Mid Tower,Black,,,45.8,2,https://cdna.pcpartpicker.com/static/forever/images/product/a75aec0b8270019ecc2a4b4141b11f52.256p.jpg
Asus ROG Strix Helios,234.97,ATX Full Tower,Black,,Tempered Glass,83.5,2,https://cdna.pcpartpicker.com/static/forever/images/product/7fb0b865a88be851eb7fdac685bf373c.256p.jpg
Deepcool CH260,,MicroATX Desktop,Black,,Tempered Glass,30.8,1,https://cdna.pcpartpicker.com/static/forever/images/product/66859af5bb9e832d6180ade5759ad20c.256p.jpg
Fractal Design Pop Air RGB,99.99,ATX Mid Tower,Black,,Tempered Glass,46.2,2,https://cdna.pcpartpicker.com/static/forever/images/product/afcf290a91379b52360c7db562567b6f.256p.jpg
Zalman CUBIX,37.99,MicroATX Mini Tower,Black,,,,1,https://cdna.pcpartpicker.com/static/forever/images/product/bc2dcc30127b984037b5d5967727f74a.256p.jpg
Deepcool CG530 4F,,ATX Mid Tower,Black,,Tinted Acrylic,50.0,2,https://cdna.pcpartpicker.com/static/forever/images/product/5921b1e072b530264f56e87c6a954f93.256p.jpg
NZXT H9 Flow (2025),164.99,ATX Mid Tower,Black,,Tinted Tempered Glass,76.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/0cda49e883ff1ea3cab69e0808746f27.256p.jpg
Montech KING 65 PRO,94.99,ATX Mid Tower,Black,,Tempered Glass,63.0,2,https://cdna.pcpartpicker.com/static/forever/images/product/dfa4f5783baf38a029b75e60cb883d12.256p.jpg
Deepcool CC560 V2,,ATX Mid Tower,Black,,Tempered Glass,44.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/b4eee8314bb582edeb59eef06376bf4c.256p.jpg
Fractal Design Define R5,124.99,ATX Mid Tower,Black,,,54.2,8,https://cdna.pcpartpicker.com/static/forever/images/product/3803ebb09f64ddc954a86cb7b45a8ebd.256p.jpg
NZXT H510,,ATX Mid Tower,Black,,Tempered Glass,41.3,2,https://cdna.pcpartpicker.com/static/forever/images/product/cddea328a7447afc83e6b561f9448abb.256p.jpg
Lian Li Vector V100R,,ATX Mid Tower,Black,,Tempered Glass,53.2,1,https://cdna.pcpartpicker.com/static/forever/images/product/33c1bd4bd2b68730e185a80a0b6e7750.256p.jpg
Cooler Master MasterBox Q300L,36.99,MicroATX Mini Tower,White,,Acrylic,33.6,1,https://cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg
NZXT H9 Flow RGB+ (2025),289.99,ATX Mid Tower,White,,Tempered Glass,76.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/463721369e4217261a778db8b67b118c.256p.jpg
Cooler Master Q300L V2,55.98,MicroATX Mini Tower,Black,,Tempered Glass,34.1,1,https://cdna.pcpartpicker.com/static/forever/images/product/882cbc6a90eb5a67014417560e8a44b8.256p.jpg
Antec C8 Wood,119.99,ATX Full Tower,Black / Brown,,Tempered Glass,66.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/733e7367fe45367fb76e6e94c306aa77.256p.jpg
Lian Li O11 Dynamic Mini,229.0,ATX Mid Tower,Black,,Tempered Glass,43.0,2,https://cdna.pcpartpicker.com/static/forever/images/product/bf613e9d7fc5e9975f3e2609d985d9d9.256p.jpg
Montech AIR 100 ARGB,69.98,MicroATX Mid Tower,White,,Tempered Glass,36.1,2,https://cdna.pcpartpicker.com/static/forever/images/product/24adca630b5c708e106099fc958825a1.256p.jpg
HYTE Y60,179.99,ATX Mid Tower,Black,,Tempered Glass,60.0,2,https://cdna.pcpartpicker.com/static/forever/images/product/057519c92f6acc11679400bd763c86f5.256p.jpg
MUSETEX K2,74.98,ATX Mid Tower,Black,,Tempered Glass,44.4,2,https://m.media-amazon.com/images/I/51PKbuE3c6L.jpg
Fractal Design Ridge PCIe 4.0,142.97,Mini ITX Tower,White,,Mesh,16.3,0,https://m.media-amazon.com/images/I/31bjjZkjSOL.jpg
HYTE Y70 Touch Infinite,399.99,ATX Mid Tower,White / Black,,Tempered Glass,70.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/48cf06b9156aa9e1b662b35af8eb2a3b.256p.jpg
Zalman S2,49.98,ATX Mid Tower,Black,,Acrylic,38.4,2,https://cdna.pcpartpicker.com/static/forever/images/product/57709fd32c80825278a1956146554862.256p.jpg
Fractal Design North XL,179.99,ATX Full Tower,White,,Tempered Glass,61.4,2,https://cdna.pcpartpicker.com/static/forever/images/product/de8d089eec0681bef6c59b47f908e2ef.256p.jpg
Zalman T8,42.95,ATX Mid Tower,Black,,,33.4,2,https://cdna.pcpartpicker.com/static/forever/images/product/bc2dcc30127b984037b5d5967727f74a.256p.jpg
Jonsbo C6-ITX,62.0,Mini ITX Desktop,Black,,Mesh,15.9,1,https://cdna.pcpartpicker.com/static/forever/images/product/1046a701715276b7c900588c25c30e6f.256p.jpg
Lian Li A4-H20 A4,154.99,Mini ITX Desktop,Silver / Black,,Mesh,11.1,0,https://cdna.pcpartpicker.com/static/forever/images/product/ab3bb219dcf9c7a1871197bb65ed9e2d.256p.jpg
MSI MAG FORGE M100R,,MicroATX Mini Tower,Black,,Tempered Glass,32.8,2,https://cdna.pcpartpicker.com/static/forever/images/product/267a51a59a2a3a7c7472dcda1e9da943.256p.jpg
NZXT H510,,ATX Mid Tower,White,,Tempered Glass,41.3,2,https://cdna.pcpartpicker.com/static/forever/images/product/cddea328a7447afc83e6b561f9448abb.256p.jpg
Deepcool CH370,,MicroATX Mid Tower,Black,,Tempered Glass,38.3,2,https://cdna.pcpartpicker.com/static/forever/images/product/5921b1e072b530264f56e87c6a954f93.256p.jpg
GameMax Nova N5,50.99,ATX Mid Tower,Black,,Tempered Glass,37.6,2,https://m.media-amazon.com/images/I/513aAkRAd0L.jpg
Lian Li LANCOOL III RGB,179.99,ATX Mid Tower,Black,,Tempered Glass,65.5,4,https://cdna.pcpartpicker.com/static/forever/images/product/55d2c192011b510c1883930977ae6110.256p.jpg
SAMA SV01,79.99,ATX Mid Tower,Black,,Tempered Glass,43.5,2,https://cdna.pcpartpicker.com/static/forever/images/product/829f788b96eda500a157df203ac861c8.256p.jpg
be quiet! Pure Base 500DX,109.9,ATX Mid Tower,Black,,Tempered Glass,48.3,2,https://cdna.pcpartpicker.com/static/forever/images/product/f0f421e3fc3867493483981e8171cdc6.256p.jpg
NZXT H3 Flow,69.98,MicroATX Mid Tower,White,,Tempered Glass,35.0,1,https://cdna.pcpartpicker.com/static/forever/images/product/5b23443767ef786094bc4b6add8112a8.256p.jpg
NZXT H5 Flow RGB (2024),89.99,ATX Mid Tower,White,,Tempered Glass,45.0,1,https://cdna.pcpartpicker.com/static/forever/images/product/8925e4a3aa61f5cea6249c6e18c54e9e.256p.jpg
Fractal Design Torrent,204.99,ATX Mid Tower,Black,,Tinted Tempered Glass,69.8,2,https://cdna.pcpartpicker.com/static/forever/images/product/6ed0eafe090016aba2869fcd8aa5debf.256p.jpg
Montech AIR 100 LITE,79.98,MicroATX Mid Tower,Black,,Tempered Glass,36.1,2,https://cdna.pcpartpicker.com/static/forever/images/product/dfa4f5783baf38a029b75e60cb883d12.256p.jpg
Lian Li PC-O11 Dynamic,,ATX Full Tower,Black,,Tempered Glass,54.0,3,https://cdna.pcpartpicker.com/static/forever/images/product/580387945cfb3fe6bac9ef5844c2b55f.256p.jpg
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,,Tempered Glass,26.3,1,https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg
Thermaltake Versa H16 ARGB,54.99,MicroATX Mini Tower,Black,,Tempered Glass,33.0,2,https://cdna.pcpartpicker.com/static/forever/images/product/f488ef9e12f2c763481fa0a720647dfd.256p.jpg
Lian Li O11 Dynamic Mini Snow Edition,,ATX Mid Tower,White,,Tempered Glass,43.0,2,https://cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg
GameMax Vista M,53.9,MicroATX Mini Tower,Black,,Tempered Glass,40.9,2,
Phanteks Eclipse G370A,56.98,ATX Mid Tower,Black,,Tempered Glass,48.7,0,https://cdna.pcpartpicker.com/static/forever/images/product/bbff08990bf49c7db84fbbd100460516.256p.jpg
