name,price,chipset,memory,core_clock,boost_clock,color,length,image
Gigabyte WINDFORCE OC SFF,869.99,GeForce RTX 5070 Ti,16,2497,,Black,304,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Asus ROG Astral LC OC,4246.33,GeForce RTX 5090,32,2010,2610.0,Black / Silver,288,https://cdna.pcpartpicker.com/static/forever/images/product/adc50b2db9f548ed8e1fefbdbdc80709.256p.jpg
Gigabyte WINDFORCE OC,449.99,GeForce RTX 5060 Ti,16,2410,2587.0,Black,208,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Asus Dual GeForce RTX 3060 V2 OC Edition,329.97,GeForce RTX 3060 12GB,12,1320,1867.0,Black,200,https://cdna.pcpartpicker.com/static/forever/images/product/a6cfb4e58daecb7b49fb19b0f5268a56.256p.jpg
MSI GAMING TRIO OC,549.99,GeForce RTX 5070,12,2160,,Black,338,https://cdna.pcpartpicker.com/static/forever/images/product/370365e652c3b14625e18aedae953a7b.256p.jpg
MSI GAMING TRIO OC,559.99,GeForce RTX 5060 Ti,16,2410,2662.0,White,300,https://cdna.pcpartpicker.com/static/forever/images/product/370365e652c3b14625e18aedae953a7b.256p.jpg
Asus DUAL OC V2,369.99,GeForce RTX 4060,8,1830,2535.0,Black,202,https://cdna.pcpartpicker.com/static/forever/images/product/8036ae79e5083fcd854c3d552bac6865.256p.jpg
Asus DUAL EVO OC,439.99,GeForce RTX 4060,8,1830,2535.0,Black,227,https://cdna.pcpartpicker.com/static/forever/images/product/9587565162ba3dd767fd21a6b640c824.256p.jpg
Sapphire PULSE,642.99,Radeon RX 9070,16,2070,2520.0,Black,280,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
PNY Dual Fan OC,428.33,GeForce RTX 5060 Ti,16,2407,2691.0,Black,245,https://cdna.pcpartpicker.com/static/forever/images/product/905c5188bfef0485bb8f9c8928f1a765.256p.jpg
